COD_EST,FECHA,T_MAX,T_MED,T_MIN,H_R_MAX,H_R_MED,H_R_MIN,RADIACION,LLUVIA,LLUVIA_MIN,V_MAX,V_MED,V_MIN,CV1,CV2,CV3,CV4,DIRECCION,HORAS,H_T,H_HR,H_R,H_LL,H_TS,H_V,H_D,CALCULOS,MTMEN0,MTMEN7,MTMA30,MVMA50,T_S_MED,T_S_MAX,T_S_MIN
HU006,2008-03-06T00:00:00,18.02,8.873376,0.092,83.6,52.66333,20.44,16.3286,0,0,19.67,4.773459,0,582,670,106,82,2,24,24,24,24,24,0,24,24,1,0,772,0,0,,,
HU006,2008-03-07T00:00:00,20.65,10.10812,0.794,91.6,61.17292,22.99,16.45303,0,0,15.15,3.829125,0,780,178,273,209,1,24,24,24,24,24,0,24,24,1,0,598,0,0,,,
HU006,2008-03-08T00:00:00,19.44,12.2475,3.254,85.8,63.60376,39.39,16.13096,0,0,22.33,9.397206,0,1061,2,3,374,1,24,24,24,24,24,0,24,24,1,0,103,0,0,,,
HU006,2008-03-09T00:00:00,19.88,13.39292,7.84,86,63.11209,39.69,11.30948,0,0,19.67,7.900833,0,944,2,18,476,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-10T00:00:00,16.26,11.84834,4.11,93.1,76.0875,58.3,7.249086,0,0,18.07,6.203208,0,417,66,183,774,4,24,24,24,24,24,0,24,24,1,0,203,0,0,,,
HU006,2008-03-11T00:00:00,22.38,15.97875,11.89,89.6,72.90834,44,14.99543,0,0,19.14,6.763543,0,720,4,51,665,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-12T00:00:00,24.14,16.35625,7.43,94,69.49584,36.41,15.3048,0,0,15.68,6.148876,0,1294,49,6,91,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-13T00:00:00,15.16,12.36857,10.11,91.5,86.65715,77.8,0,0,0,10.37,3.437143,0,380,16,23,1,1,7,7,7,7,7,0,7,7,0,0,0,0,0,,,
HU006,2008-03-14T00:00:00,27.13,21.89846,16.87,65.5,47.09461,31.31,9.746263,0,0,16.48,6.255384,0,50,303,330,97,3,13,13,13,13,13,0,13,13,0,0,0,0,0,,,
HU006,2008-03-15T00:00:00,19.77,16.34792,12.45,86.3,70.95,51.4,16.18365,0,0,18.61,7.149042,0,433,20,296,691,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-16T00:00:00,18.84,13.0325,7.45,90,68.03249,35.63,14.72976,0,0,14.09,4.954334,0,787,23,178,452,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-17T00:00:00,17.82,12.98583,6.21,92.6,74.825,57,13.49626,0,0,19.67,5.741875,0,744,22,186,488,1,24,24,24,24,24,0,24,24,1,0,53,0,0,,,
HU006,2008-03-18T00:00:00,16.92,12.21917,3.352,95.6,74.925,55.9,12.41998,0,0,16.75,5.087875,0,596,36,247,561,1,24,24,24,24,24,0,24,24,1,0,144,0,0,,,
HU006,2008-03-19T00:00:00,16.06,10.67375,4.27,95,89.75833,79.3,4.474505,38,204,28.71,6.716625,0,210,629,535,66,2,24,24,24,24,24,0,24,24,1,0,204,0,0,,,
HU006,2008-03-20T00:00:00,16.64,12.28833,8.87,95.6,85.77499,65.8,10.20136,7.699999,68,28.97,8.313916,0.532,89,1021,328,2,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-21T00:00:00,18.68,12.96416,7.27,92.5,73.77502,54.7,17.02207,0.1,1,17.01,5.619124,0,454,295,115,576,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-22T00:00:00,17.71,12.55417,8.94,84.5,69.08333,49.3,12.36188,0.2,2,30.04,12.30042,1.861,735,0,30,675,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-23T00:00:00,15.81,10.1525,5.34,78.3,54.58332,25.72,19.03529,0,0,23.12,7.977627,0,1276,6,0,158,1,24,24,24,24,24,0,24,24,1,0,343,0,0,,,
HU006,2008-03-24T00:00:00,19.12,11.39125,4.54,84.4,57.43999,30.77,18.42789,0,0,23.39,6.357875,0,1297,1,0,142,1,24,24,24,24,24,0,24,24,1,0,476,0,0,,,
HU006,2008-03-25T00:00:00,19.21,13.09833,7.05,86.7,63.58417,38.92,16.77978,0,0,17.81,8.0525,1.595,1047,1,41,351,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-26T00:00:00,19.75,13.88917,8.79,83.6,64.30833,41.9,16.72999,0,0,30.3,13.07375,3.19,991,0,2,447,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-27T00:00:00,12.62,10.57286,9.08,87.6,82.28571,72.1,0,0,0,17.81,5.771142,0,143,0,7,270,4,7,7,7,7,7,0,7,7,0,0,0,0,0,,,
HU006,2008-03-28T00:00:00,21.5,16.87706,7.11,90.3,59.18823,42.1,16.68987,0,0,21.53,9.287647,1.861,945,1,0,74,1,17,17,17,17,17,0,17,17,0,0,0,0,0,,,
HU006,2008-03-29T00:00:00,22.09,15.84833,10.02,88.9,70.30418,45.9,18.74585,0,0,16.48,4.985709,0,660,43,291,446,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-30T00:00:00,19.73,14.42208,9.49,91.1,68.04166,42,15.13955,0,0,26.31,8.764875,0,740,5,139,556,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-03-31T00:00:00,20.54,13.77875,6.58,84.6,54.19125,28.78,19.05174,0,0,21.53,7.63804,0.532,1234,7,15,184,1,24,24,24,24,24,0,24,24,1,0,124,0,0,,,
HU006,2008-04-01T00:00:00,26,16.50958,7.23,84.2,52.11292,21.34,19.16734,0,0,22.06,6.034041,0,887,483,52,18,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-02T00:00:00,25.99,15.51209,7.35,86.7,53.65958,17.48,19.854,0,0,23.12,4.126417,0,340,655,380,65,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-03T00:00:00,28.74,15.91584,5.68,86.9,46.11333,12.48,20.99157,0,0,14.62,3.83525,0,245,668,227,300,2,24,24,24,24,24,0,24,24,1,0,70,0,0,,,
HU006,2008-04-04T00:00:00,24.04,14.62042,6.44,90.2,61.47083,24.1,20.40969,0,0,15.95,2.831667,0,348,391,427,274,3,24,24,24,24,24,0,24,24,1,0,155,0,0,,,
HU006,2008-04-05T00:00:00,23.09,14.83958,5.51,92,67.29541,32.95,12.2884,0,0,17.28,3.830041,0,370,452,431,187,2,24,24,24,24,24,0,24,24,1,0,115,0,0,,,
HU006,2008-04-06T00:00:00,19.5,14.92625,8.73,93.6,83.45417,71,14.56831,0,0,20.73,5.956959,0,164,333,807,136,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-07T00:00:00,19.2,15.80875,11.27,95.7,84.25001,67.9,10.11059,0.9,9,27.64,8.488208,0,14,236,932,258,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-08T00:00:00,17.49,15.23208,12.25,94.9,89.98334,75.5,1.579291,44.3,333,31.9,10.84908,0,12,61,1091,276,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-09T00:00:00,19,16.71792,14.34,95.3,89.37083,82.6,7.779888,31.6,222,28.71,11.82708,1.063,2,7,1235,196,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-10T00:00:00,18.88,16.00834,11.72,88.6,74.45001,57.9,12.30177,0.1,1,33.23,13.3425,2.924,83,0,776,581,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-11T00:00:00,18.61,13.755,9.63,72,54.73917,29.27,20.1453,0,0,39.6,10.43458,1.063,683,0,6,751,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-12T00:00:00,18.81,13.19792,7.42,86.2,63.32875,35.19,20.0354,0,0,19.4,7.485834,0.797,959,4,151,326,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-13T00:00:00,18.35,13.16625,7.07,88.9,69.66667,45.6,20.26398,0,0,22.86,5.388751,0,797,32,127,484,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-14T00:00:00,22.18,14.53667,8.41,93.4,67.53667,32.54,17.79567,0,0,21.53,4.159042,0,976,336,49,79,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-15T00:00:00,22.8,14.60625,7.75,93,67.62042,31.87,17.51994,0,0,28.44,4.533042,0,259,539,608,34,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-16T00:00:00,20.85,15.66333,10.44,84.8,61.07458,33.96,16.63912,0,0,23.66,5.221834,0,264,318,344,514,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-17T00:00:00,18.64,16.1,13.75,90.8,73.325,56.2,14.94553,0.2,2,36.15,10.77083,2.658,178,7,506,749,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-18T00:00:00,17.94,15.54833,12.92,90.2,70.67501,57.4,20.67053,4,29,36.41,12.1875,1.329,41,5,412,982,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-19T00:00:00,17.87,14.62042,10.69,90,81.23335,73.3,9.568152,13.6,56,50.8,12.14479,0.532,38,0,701,701,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-20T00:00:00,17.69,14.08708,10.57,90.9,71.35833,58.2,15.8396,0,0,36.95,9.339583,0.266,138,1,159,1142,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-21T00:00:00,17.83,14.58875,11.58,81.9,70.7375,58.3,15.97097,0,0,25.52,7.586668,1.063,367,2,184,887,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-22T00:00:00,18.26,13.73458,7.54,92.5,75.39999,51,20.8796,0,0,23.39,5.828084,0,879,2,106,453,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-23T00:00:00,23.18,16.44625,10.85,91.6,71.81665,43,19.63685,0,0,26.05,5.937626,0,929,76,50,385,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-24T00:00:00,28.69,18.64583,9.66,93.3,68.55501,34.78,20.23358,0,0,15.95,3.871417,0,599,289,344,208,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-25T00:00:00,30.03,20.07417,11.23,90.6,55.95749,24.7,21.50283,0,0,30.04,6.499626,0,456,536,434,14,2,24,24,24,24,24,0,24,24,1,0,0,2,0,,,
HU006,2008-04-26T00:00:00,26.97,17.67958,8.62,88.5,59.23208,22.13,21.72816,0,0,19.67,3.007459,0,556,232,315,337,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-27T00:00:00,23.83,16.97833,9.99,92.5,65.03001,34.48,20.08779,0,0,17.28,2.675917,0,428,74,209,729,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-28T00:00:00,23.26,17.07166,10.62,91.3,61.06125,29.7,16.59492,0,0,43.6,9.030793,0,1202,2,45,191,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-29T00:00:00,22.25,15.62458,8.56,78.9,52.95209,26.85,22.92959,0,0,35.09,10.1825,1.329,1172,3,9,256,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-04-30T00:00:00,20.6,14.17833,6.33,90.9,67.46751,30.66,21.67513,0,0,33.49,6.588667,0,895,3,85,457,1,24,24,24,24,24,0,24,24,1,0,41,0,0,,,
HU006,2008-05-01T00:00:00,22.05,14.94709,8.42,87.2,63.04126,32.43,22.48006,0,0,30.3,6.99571,0,866,16,153,405,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-02T00:00:00,23.79,15.24917,6.37,93.5,71.5546,39.81,21.63632,0,0,29.77,6.170083,0,313,274,619,234,3,24,24,24,24,24,0,24,24,1,0,89,0,0,,,
HU006,2008-05-03T00:00:00,25.25,17.09417,8.36,92.8,68.26625,34.09,19.86695,0,0,41.7,5.822292,0,362,391,463,224,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-04T00:00:00,24.37,17.54458,10.12,92.8,71.91376,39.73,19.68822,0,0,17.81,4.012792,0,628,75,168,569,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-05T00:00:00,26.59,19.49667,12.43,91.8,70.67583,39.82,19.20722,0,0,15.95,4.173584,0,772,30,166,472,1,24,24,24,24,24,16,24,24,1,0,0,0,0,28.60375,,
HU006,2008-05-06T00:00:00,24.46,19.15,13.19,86.9,65.29958,37.93,19.19214,3.4,1,16.75,4.171626,0,468,93,565,314,3,24,24,24,24,24,6,24,24,1,0,0,0,0,23.60167,25.32,22.21
HU006,2008-05-07T00:00:00,19.39,15.56667,13.65,85.6,78.03333,60.1,0,0,0,8.51,2.164167,0,221,10,101,28,1,6,6,6,6,6,0,6,6,0,0,0,0,0,,,
HU006,2008-05-08T00:00:00,23.59,19.395,15.92,77,64.96111,49,15.85725,0,0,21.26,8.68611,1.329,543,0,141,396,1,18,18,18,18,18,0,18,18,0,0,0,0,0,,,
HU006,2008-05-09T00:00:00,19.93,14.76875,10.81,90.9,69.83335,43.3,17.41953,2.5,22,32.96,8.953792,0,766,2,148,524,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-10T00:00:00,20.16,15.21708,10.72,86.3,67.40418,46.3,16.00474,1,4,35.35,10.66,0.797,638,0,101,701,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-11T00:00:00,19.15,15.74792,12,83.4,71.35417,61.8,9.673814,0.2,2,29.5,9.118749,1.063,769,1,153,517,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-12T00:00:00,20.33,16.3675,11.96,86.7,75.84585,62.4,18.03509,0.1,1,26.58,6.840832,0,620,4,206,610,1,24,24,24,24,24,17,24,24,1,0,0,0,0,24.70529,,
HU006,2008-05-13T00:00:00,20.12,14.35917,7.7,93.1,85.19583,74.7,9.601092,0.3,3,32.96,4.457793,0,297,52,777,314,3,24,24,24,24,24,6,24,24,1,0,0,0,0,19.75333,21.53,18.18
HU006,2008-05-14T00:00:00,19.1,15.14083,8.36,93.6,75.92083,56.3,20.2062,0,0,33.49,6.141457,0,446,6,416,572,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-15T00:00:00,19.96,14.96625,8.86,92.9,78.22084,56.1,16.82723,0,0,28.71,4.35429,0,356,63,701,320,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-16T00:00:00,18.16,14.63292,9.03,92.7,84.41248,69.6,9.846468,0.7,7,24.19,3.573458,0,328,77,652,383,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-17T00:00:00,20.67,15.80333,8.86,94,72.48333,50.4,20.5662,0.1,1,30.83,7.45475,0,761,11,185,483,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-18T00:00:00,20.62,16.19875,12.13,83.7,67.17918,47.4,18.41162,0.9,9,39.87,11.39042,1.595,651,2,88,699,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-19T00:00:00,20.09,16.46458,13,90.4,70.025,51.8,16.33397,0.1,1,37.74,9.29725,0.532,486,3,159,792,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-20T00:00:00,20.13,15.84625,11.97,92.8,81.45834,64.4,11.83248,0.1,1,26.05,4.75825,0,187,68,798,387,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-21T00:00:00,21.99,17.07875,11.92,92.9,76.54166,56.3,21.53097,0,0,28.97,6.462542,0,649,3,152,636,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-22T00:00:00,22.18,17.34546,11.92,93,80.11682,58.47,22.05075,0,0,19.69,6.201591,0,526,22,535,222,3,22,22,22,22,22,0,22,22,0,0,0,0,0,,,
HU006,2008-05-23T00:00:00,22.35,17.29667,10.79,99.3,90.64959,73.22,22.28639,4.8,0,24.27,5.902709,0,129,368,575,358,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-24T00:00:00,19.53,15.93125,11.5,96.2,81.96957,67.76,23.07161,0.1,0,21.1,7.369124,0,34,38,659,695,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-25T00:00:00,19.36,15.53709,11.05,98.2,80.39792,60.89,29.50231,1.6,0,21.03,5.801958,0,25,141,777,492,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-26T00:00:00,19.83,14.62833,6.577,98.7,78.64581,59.95,26.65837,0,0,20.32,5.354916,0,30,50,544,801,4,24,24,24,24,24,0,24,24,1,0,66,0,0,,,
HU006,2008-05-27T00:00:00,19.74,14.9075,9.09,97.9,83.57791,64.94,20.96384,1.3,0,17.92,4.744375,0,39,81,603,715,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-28T00:00:00,19.83,15.86208,11.75,95.2,80.74918,66.16,21.66988,0,0,20.74,6.974251,0,9,51,730,646,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-29T00:00:00,20.35,16.47542,13.1,98.1,92.11166,79.18,14.60254,2.1,0,22.97,5.719833,0,1,265,1013,159,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-30T00:00:00,20.16,16.61416,13.25,97.8,82.25624,66.96,26.95049,0.3,0,19.4,5.735207,0,17,21,535,859,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-05-31T00:00:00,20.33,16.41833,9.61,97.8,78.30376,64.12,31.91166,0,0,20.57,6.086958,0,111,40,624,655,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-01T00:00:00,21.61,16.62917,9.81,98.4,78.96542,58.96,30.44441,0,0,19.76,6.73825,0,41,20,484,878,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-02T00:00:00,20.97,16.85042,11.39,93.9,77.50083,58.7,32.17698,0,0,20.67,7.172668,0,75,13,606,720,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-03T00:00:00,25.25,18.50292,13.67,93,71.69584,38.99,26.62358,0,0,18.35,6.478041,0,83,8,314,1007,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-04T00:00:00,26.22,19.90875,14.56,87.2,68.84291,49.78,31.7588,0,0,18.77,7.287041,0,86,10,433,882,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-05T00:00:00,26.06,19.95125,13.5,82.3,62.61542,38.91,32.43006,0,0,26.67,10.51842,0,86,3,245,1069,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-06T00:00:00,27.89,20.26917,14.53,89.8,64.21001,42.21,31.94651,0,0,21.13,6.891167,0,216,52,366,780,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-07T00:00:00,26.48,19.63125,12.9,98.2,75.32251,48.68,31.70325,0,0,18.06,3.990417,0,268,298,570,287,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-08T00:00:00,24.85,18.92833,12.06,98.9,75.57915,47.76,32.0822,0,0,18.8,4.573041,0,376,297,608,153,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-09T00:00:00,27.13,19.0025,9.61,86.8,58.055,30.39,30.97962,0,0,21.73,5.150667,0,767,49,212,389,1,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-10T00:00:00,24.8,18.79,11.4,96.7,76.35999,53.6,26.01536,0,0,14.96,3.54425,0,169,109,533,614,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-11T00:00:00,24.77,19.28792,12.39,97.5,77.35957,56.14,31.6323,0,0,17.46,3.8725,0,166,160,711,399,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-12T00:00:00,30.5,21.58167,12.76,97.2,68.63543,34.23,31.63216,0,0,17.22,3.856459,0,505,296,429,207,1,24,24,24,24,24,0,24,24,1,0,0,9,0,,,
HU006,2008-06-13T00:00:00,27.38,21.87125,12.66,90,65.25335,46.4,31.67082,0,0,17.85,4.195916,0,305,257,555,319,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-14T00:00:00,31.69,23.04333,13.89,91.3,52.51875,21.74,32.20221,0,0,15.95,4.864042,0,147,32,472,756,4,24,24,24,24,24,0,24,24,1,0,0,306,0,,,
HU006,2008-06-15T00:00:00,30.41,23.29208,14.28,73.53,50.54167,21.9,32.96027,0,0,23.71,9.020583,0,130,10,389,872,4,24,24,24,24,24,0,24,24,1,0,0,6,0,,,
HU006,2008-06-16T00:00:00,23.2,20.88291,17.44,87.1,73.34834,62.91,31.76143,0,0,24.13,8.167333,0,7,19,634,773,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-17T00:00:00,24.64,19.655,14.26,93.2,73.76959,56.48,32.37217,0,0,18.13,5.809292,0,50,27,656,696,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-18T00:00:00,27.51,20.72416,11.89,96.8,70.60083,43.57,32.24733,0,0,19.23,4.443208,0,215,298,534,384,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-19T00:00:00,28.16,21.08875,11.75,93.8,66.13334,36.34,31.78862,0,0,15.52,3.690167,0,213,241,620,357,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-20T00:00:00,25.23,20.58417,13.8,93.5,76.37708,54.91,31.63795,0,0,16.48,4.087083,0,12,307,595,523,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-21T00:00:00,30.03,21.715,12.24,96.4,62.31459,32.12,31.96937,0,0,14.68,3.103667,0,387,72,480,499,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-22T00:00:00,30.29,22.7075,14.01,91.6,62.59793,36.73,31.19892,0,0,18.63,5.05875,0,160,233,665,359,3,24,24,24,24,24,0,24,24,1,0,0,12,0,,,
HU006,2008-06-23T00:00:00,24.95,21.21667,16.26,94.6,83.06126,67.12,21.45236,0,0,22.23,6.524708,0,28,720,448,238,2,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-24T00:00:00,29.83,22.44292,15.91,88.6,65.86085,34.63,32.43812,0,0,20.92,6.359792,0,211,19,437,744,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-25T00:00:00,29.76,24.22167,15.56,86.8,55.85083,32.37,32.26108,0,0,19.05,5.904749,0,230,131,633,410,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-06-26T00:00:00,33.01,24.01875,14.31,91,62.4375,32.42,31.31734,0,0,15.03,3.891125,0,190,52,568,613,4,24,24,24,24,24,0,24,24,1,0,0,249,0,,,
HU006,2008-06-27T00:00:00,33.77,24.43708,15.91,93.9,64.98917,36.07,31.35017,0,0,16.09,3.509583,0,74,37,476,844,4,24,24,24,24,24,0,24,24,1,0,0,329,0,,,
HU006,2008-06-28T00:00:00,31.32,25.18042,16.21,94.5,67.36794,42.34,31.45072,0,0,14.99,4.021833,0,9,249,941,239,3,24,24,24,24,24,0,24,24,1,0,0,269,0,,,
HU006,2008-06-29T00:00:00,32.19,25.44541,17.11,95.2,64.74043,37.38,29.62463,0,0,14.78,3.489667,0,0,150,1010,276,3,24,24,24,24,24,0,24,24,1,0,0,331,0,,,
HU006,2008-06-30T00:00:00,31.94,23.8,15.41,95.5,67.25042,36.52,30.4038,0,0,19.47,4.493916,0,72,340,772,239,3,24,24,24,24,24,0,24,24,1,0,0,346,0,,,
HU006,2008-07-01T00:00:00,32.08,22.90792,13.27,93.4,55.82166,21.28,31.34749,0,0,16.44,4.531416,0,214,47,531,636,4,24,24,24,24,24,0,24,24,1,0,0,167,0,,,
HU006,2008-07-02T00:00:00,31.91,25.36542,18.45,67.19,49.07208,32.39,29.96319,0,0,25.79,10.42058,0,135,20,139,1115,4,24,24,24,24,24,0,24,24,1,0,0,141,0,,,
HU006,2008-07-03T00:00:00,30.7,22.49042,15.88,69.53,44.28875,16.55,32.07398,0,0,28.82,10.89071,0,169,4,194,1034,4,24,24,24,24,24,0,24,24,1,0,0,31,0,,,
HU006,2008-07-04T00:00:00,31.44,23.81875,17.04,86.8,46.22167,21.16,31.79869,0,0,20.25,7.540958,0,123,52,494,741,4,24,24,24,24,24,0,24,24,1,0,0,158,0,,,
HU006,2008-07-05T00:00:00,29.83,24.93291,20.26,79.49,64.37834,48.22,30.93293,0,0,21.63,8.302957,0,104,14,509,785,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-06T00:00:00,24.97,22.00292,18.22,73.41,51.20417,36.38,31.5572,0,0,25.33,10.80425,0,50,16,456,896,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-07T00:00:00,28.57,20.95875,14.93,66.36,49.71208,25.73,32.36274,0,0,25.61,10.05458,0,118,5,271,1016,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-08T00:00:00,32.08,22.46625,13.92,85.1,47.72541,22.82,31.5801,2.9,0,17.08,6.050791,0,228,79,470,617,4,24,24,24,24,24,0,24,24,1,0,0,82,0,,,
HU006,2008-07-09T00:00:00,27.82,20.67958,11.37,92.3,72.26501,49.83,32.35918,0,0,16.9,4.264917,0,279,265,564,271,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-10T00:00:00,31.68,23.13917,12.63,91.3,58.40834,28.58,32.15295,0,0,22.26,5.84325,0,82,5,376,961,4,24,24,24,24,24,0,24,24,1,0,0,181,0,,,
HU006,2008-07-11T00:00:00,29.97,24.19042,19.19,76.2,62.68291,42.29,31.93538,0,0,23.5,10.4735,0,83,6,349,975,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-12T00:00:00,29,22.47875,15.53,82.4,56.04,26.24,31.87062,0,0,27.77,10.35117,0,78,6,326,1013,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-13T00:00:00,28.19,22.46791,16.01,71.1,51.50166,32.91,32.0806,0,0,23.85,8.243417,0,87,14,463,852,4,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-14T00:00:00,27.15,21.38,13.1,93.6,77.05585,61.34,29.88864,0,0,18.03,4.127167,0,177,437,557,261,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-15T00:00:00,29.36,23.52334,16.74,95.7,69.64832,48.98,25.54913,0,0,18.59,4.324375,0,255,383,485,314,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-16T00:00:00,28.43,22.43417,15.61,93.5,71.31875,47.34,26.73993,0,0,16.51,4.24775,0,198,180,606,445,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
HU006,2008-07-17T00:00:00,28.99,23.55042,16.8,97.3,73.56084,53.27,29.79572,0,0,16.33,5.108249,0,195,237,644,343,3,24,24,24,24,24,0,24,24,1,0,0,0,0,,,
